year,sex,level_of_school,age,no_of_principals
2007,MF,PRIMARY,40 - 44,27
2007,F,PRIMARY,40 - 44,18
2007,MF,PRIMARY,45 - 49,52
2007,F,PRIMARY,45 - 49,36
2007,MF,PRIMARY,50 - 54,34
2007,F,PRIMARY,50 - 54,30
2007,MF,PRIMARY,55 & ABOVE,45
2007,F,PRIMARY,55 & ABOVE,32
2007,MF,SECONDARY,30 - 34,0
2007,F,SECONDARY,30 - 34,0
2007,MF,SECONDARY,35 - 39,22
2007,F,SECONDARY,35 - 39,8
2007,MF,SECONDARY,40 - 44,28
2007,F,SECONDARY,40 - 44,17
2007,MF,SECONDARY,45 - 49,49
2007,F,SECONDARY,45 - 49,30
2007,MF,SECONDARY,50 - 54,28
2007,F,SECONDARY,50 - 54,18
2007,MF,SECONDARY,55 & ABOVE,33
2007,F,SECONDARY,55 & ABOVE,13
2008,MF,PRE-UNIVERSITY,30 - 34,0
2008,F,PRE-UNIVERSITY,30 - 34,0
2008,MF,PRE-UNIVERSITY,35 - 39,0
2008,F,PRE-UNIVERSITY,35 - 39,0
2008,MF,PRE-UNIVERSITY,40 - 44,2
2008,F,PRE-UNIVERSITY,40 - 44,1
2008,MF,PRE-UNIVERSITY,45 - 49,3
2008,F,PRE-UNIVERSITY,45 - 49,2
2008,MF,PRE-UNIVERSITY,50 - 54,8
2008,F,PRE-UNIVERSITY,50 - 54,5
2008,MF,PRE-UNIVERSITY,55 & ABOVE,4
2008,F,PRE-UNIVERSITY,55 & ABOVE,2
2008,MF,PRIMARY,30 - 34,0
2008,F,PRIMARY,30 - 34,0
2008,MF,PRIMARY,35 - 39,12
2008,F,PRIMARY,35 - 39,5
2008,MF,PRIMARY,40 - 44,29
2008,F,PRIMARY,40 - 44,18
2008,MF,PRIMARY,45 - 49,46
2008,F,PRIMARY,45 - 49,33
2008,MF,PRIMARY,50 - 54,40
2008,F,PRIMARY,50 - 54,33
2008,MF,PRIMARY,55 & ABOVE,47
2008,F,PRIMARY,55 & ABOVE,34
2008,MF,SECONDARY,30 - 34,0
2008,F,SECONDARY,30 - 34,0
2008,MF,SECONDARY,35 - 39,20
2008,F,SECONDARY,35 - 39,6
2008,MF,SECONDARY,40 - 44,31
2008,F,SECONDARY,40 - 44,19
2008,MF,SECONDARY,45 - 49,45
2008,F,SECONDARY,45 - 49,27
2008,MF,SECONDARY,50 - 54,32
2008,F,SECONDARY,50 - 54,21
2008,MF,SECONDARY,55 & ABOVE,37
2008,F,SECONDARY,55 & ABOVE,17
2009,MF,PRE-UNIVERSITY,30 - 34,0
2009,F,PRE-UNIVERSITY,30 - 34,0
2009,MF,PRE-UNIVERSITY,35 - 39,0
2009,F,PRE-UNIVERSITY,35 - 39,0
2009,MF,PRE-UNIVERSITY,40 - 44,1
2009,F,PRE-UNIVERSITY,40 - 44,1
2009,MF,PRE-UNIVERSITY,45 - 49,4
2009,F,PRE-UNIVERSITY,45 - 49,2
2009,MF,PRE-UNIVERSITY,50 - 54,6
2009,F,PRE-UNIVERSITY,50 - 54,5
2009,MF,PRE-UNIVERSITY,55 & ABOVE,6
2009,F,PRE-UNIVERSITY,55 & ABOVE,3
2009,MF,PRIMARY,30 - 34,0
2009,F,PRIMARY,30 - 34,0
2009,MF,PRIMARY,35 - 39,18
2009,F,PRIMARY,35 - 39,14
2009,MF,PRIMARY,40 - 44,38
2009,F,PRIMARY,40 - 44,22
2009,MF,PRIMARY,45 - 49,34
2009,F,PRIMARY,45 - 49,27
2009,MF,PRIMARY,50 - 54,46
2009,F,PRIMARY,50 - 54,36
2009,MF,PRIMARY,55 & ABOVE,36
2009,F,PRIMARY,55 & ABOVE,25
2009,MF,SECONDARY,30 - 34,1
2009,F,SECONDARY,30 - 34,1
2009,MF,SECONDARY,35 - 39,25
2009,F,SECONDARY,35 - 39,5
2009,MF,SECONDARY,40 - 44,35
2009,F,SECONDARY,40 - 44,19
2009,MF,SECONDARY,45 - 49,39
2009,F,SECONDARY,45 - 49,23
2009,MF,SECONDARY,50 - 54,33
2009,F,SECONDARY,50 - 54,20
2009,MF,SECONDARY,55 & ABOVE,32
2009,F,SECONDARY,55 & ABOVE,15
2010,MF,PRE-UNIVERSITY,30 - 34,0
2010,F,PRE-UNIVERSITY,30 - 34,0
2010,MF,PRE-UNIVERSITY,35 - 39,0
2010,F,PRE-UNIVERSITY,35 - 39,0
2010,MF,PRE-UNIVERSITY,40 - 44,1
2010,F,PRE-UNIVERSITY,40 - 44,1
2010,MF,PRE-UNIVERSITY,45 - 49,2
2010,F,PRE-UNIVERSITY,45 - 49,1
2010,MF,PRE-UNIVERSITY,50 - 54,7
2010,F,PRE-UNIVERSITY,50 - 54,5
2010,MF,PRE-UNIVERSITY,55 & ABOVE,7
2010,F,PRE-UNIVERSITY,55 & ABOVE,5
2010,MF,PRIMARY,30 - 34,0
2010,F,PRIMARY,30 - 34,0
2010,MF,PRIMARY,35 - 39,12
2010,F,PRIMARY,35 - 39,7
2010,MF,PRIMARY,40 - 44,45
2010,F,PRIMARY,40 - 44,29
2010,MF,PRIMARY,45 - 49,31
2010,F,PRIMARY,45 - 49,23
2010,MF,PRIMARY,50 - 54,53
2010,F,PRIMARY,50 - 54,40
2010,MF,PRIMARY,55 & ABOVE,32
2010,F,PRIMARY,55 & ABOVE,27
2010,MF,SECONDARY,30 - 34,0
2010,F,SECONDARY,30 - 34,0
2010,MF,SECONDARY,35 - 39,16
2010,F,SECONDARY,35 - 39,3
2010,MF,SECONDARY,40 - 44,45
2010,F,SECONDARY,40 - 44,22
2010,MF,SECONDARY,45 - 49,29
2010,F,SECONDARY,45 - 49,18
2010,MF,SECONDARY,50 - 54,46
2010,F,SECONDARY,50 - 54,29
2010,MF,SECONDARY,55 & ABOVE,30
2010,F,SECONDARY,55 & ABOVE,11
2011,MF,PRE-UNIVERSITY,30 - 34,0
2011,F,PRE-UNIVERSITY,30 - 34,0
2011,MF,PRE-UNIVERSITY,35 - 39,0
2011,F,PRE-UNIVERSITY,35 - 39,0
2011,MF,PRE-UNIVERSITY,40 - 44,1
2011,F,PRE-UNIVERSITY,40 - 44,0
2011,MF,PRE-UNIVERSITY,45 - 49,2
2011,F,PRE-UNIVERSITY,45 - 49,2
2011,MF,PRE-UNIVERSITY,50 - 54,8
2011,F,PRE-UNIVERSITY,50 - 54,4
2011,MF,PRE-UNIVERSITY,55 & ABOVE,9
2011,F,PRE-UNIVERSITY,55 & ABOVE,7
2011,MF,PRIMARY,30 - 34,0
2011,F,PRIMARY,30 - 34,0
2011,MF,PRIMARY,35 - 39,13
2011,F,PRIMARY,35 - 39,9
2011,MF,PRIMARY,40 - 44,51
2011,F,PRIMARY,40 - 44,36
2011,MF,PRIMARY,45 - 49,32
2011,F,PRIMARY,45 - 49,25
2011,MF,PRIMARY,50 - 54,57
2011,F,PRIMARY,50 - 54,41
2011,MF,PRIMARY,55 & ABOVE,28
2011,F,PRIMARY,55 & ABOVE,26
2011,MF,SECONDARY,30 - 34,0
2011,F,SECONDARY,30 - 34,0
2011,MF,SECONDARY,35 - 39,23
2011,F,SECONDARY,35 - 39,9
2011,MF,SECONDARY,40 - 44,37
2011,F,SECONDARY,40 - 44,14
2011,MF,SECONDARY,45 - 49,25
2011,F,SECONDARY,45 - 49,15
2011,MF,SECONDARY,50 - 54,49
2011,F,SECONDARY,50 - 54,32
2011,MF,SECONDARY,55 & ABOVE,26
2011,F,SECONDARY,55 & ABOVE,12
2012,MF,PRE-UNIVERSITY,30 - 34,0
2012,F,PRE-UNIVERSITY,30 - 34,0
2012,MF,PRE-UNIVERSITY,35 - 39,0
2012,F,PRE-UNIVERSITY,35 - 39,0
2012,MF,PRE-UNIVERSITY,40 - 44,1
2012,F,PRE-UNIVERSITY,40 - 44,0
2012,MF,PRE-UNIVERSITY,45 - 49,2
2012,F,PRE-UNIVERSITY,45 - 49,2
2012,MF,PRE-UNIVERSITY,50 - 54,8
2012,F,PRE-UNIVERSITY,50 - 54,4
2012,MF,PRE-UNIVERSITY,55 & ABOVE,7
2012,F,PRE-UNIVERSITY,55 & ABOVE,5
2012,MF,PRIMARY,30 - 34,0
2012,F,PRIMARY,30 - 34,0
2012,MF,PRIMARY,35 - 39,11
2012,F,PRIMARY,35 - 39,7
2012,MF,PRIMARY,40 - 44,48
2012,F,PRIMARY,40 - 44,32
2012,MF,PRIMARY,45 - 49,37
2012,F,PRIMARY,45 - 49,30
2012,MF,PRIMARY,50 - 54,53
2012,F,PRIMARY,50 - 54,37
2012,MF,PRIMARY,55 & ABOVE,35
2012,F,PRIMARY,55 & ABOVE,31
2012,MF,SECONDARY,30 - 34,0
2012,F,SECONDARY,30 - 34,0
2012,MF,SECONDARY,35 - 39,23
2012,F,SECONDARY,35 - 39,11
2012,MF,SECONDARY,40 - 44,39
2012,F,SECONDARY,40 - 44,14
2012,MF,SECONDARY,45 - 49,28
2012,F,SECONDARY,45 - 49,16
2012,MF,SECONDARY,50 - 54,48
2012,F,SECONDARY,50 - 54,31
2012,MF,SECONDARY,55 & ABOVE,27
2012,F,SECONDARY,55 & ABOVE,13
2013,MF,PRE-UNIVERSITY,30 - 34,0
2013,F,PRE-UNIVERSITY,30 - 34,0
2013,MF,PRE-UNIVERSITY,35 - 39,1
2013,F,PRE-UNIVERSITY,35 - 39,1
2013,MF,PRE-UNIVERSITY,40 - 44,1
2013,F,PRE-UNIVERSITY,40 - 44,0
2013,MF,PRE-UNIVERSITY,45 - 49,0
2013,F,PRE-UNIVERSITY,45 - 49,0
2013,MF,PRE-UNIVERSITY,50 - 54,13
2013,F,PRE-UNIVERSITY,50 - 54,7
2013,MF,PRE-UNIVERSITY,55 & ABOVE,9
2013,F,PRE-UNIVERSITY,55 & ABOVE,6
2013,MF,PRIMARY,30 - 34,1
2013,F,PRIMARY,30 - 34,1
2013,MF,PRIMARY,35 - 39,13
2013,F,PRIMARY,35 - 39,8
2013,MF,PRIMARY,40 - 44,40
2013,F,PRIMARY,40 - 44,28
2013,MF,PRIMARY,45 - 49,47
2013,F,PRIMARY,45 - 49,37
2013,MF,PRIMARY,50 - 54,50
2013,F,PRIMARY,50 - 54,36
2013,MF,PRIMARY,55 & ABOVE,42
2013,F,PRIMARY,55 & ABOVE,35
2013,MF,SECONDARY,30 - 34,0
2013,F,SECONDARY,30 - 34,0
2013,MF,SECONDARY,35 - 39,16
2013,F,SECONDARY,35 - 39,5
2013,MF,SECONDARY,40 - 44,52
2013,F,SECONDARY,40 - 44,20
2013,MF,SECONDARY,45 - 49,35
2013,F,SECONDARY,45 - 49,19
2013,MF,SECONDARY,50 - 54,36
2013,F,SECONDARY,50 - 54,24
2013,MF,SECONDARY,55 & ABOVE,32
2013,F,SECONDARY,55 & ABOVE,18
2014,MF,PRE-UNIVERSITY,30 - 34,0
2014,F,PRE-UNIVERSITY,30 - 34,0
2014,MF,PRE-UNIVERSITY,35 - 39,1
2014,F,PRE-UNIVERSITY,35 - 39,1
2014,MF,PRE-UNIVERSITY,40 - 44,0
2014,F,PRE-UNIVERSITY,40 - 44,0
2014,MF,PRE-UNIVERSITY,45 - 49,2
2014,F,PRE-UNIVERSITY,45 - 49,1
2014,MF,PRE-UNIVERSITY,50 - 54,7
2014,F,PRE-UNIVERSITY,50 - 54,3
2014,MF,PRE-UNIVERSITY,55 & ABOVE,14
2014,F,PRE-UNIVERSITY,55 & ABOVE,8
2014,MF,PRIMARY,30 - 34,1
2014,F,PRIMARY,30 - 34,1
2014,MF,PRIMARY,35 - 39,5
2014,F,PRIMARY,35 - 39,5
2014,MF,PRIMARY,40 - 44,42
2014,F,PRIMARY,40 - 44,28
2014,MF,PRIMARY,45 - 49,48
2014,F,PRIMARY,45 - 49,36
2014,MF,PRIMARY,50 - 54,46
2014,F,PRIMARY,50 - 54,35
2014,MF,PRIMARY,55 & ABOVE,45
2014,F,PRIMARY,55 & ABOVE,35
2014,MF,SECONDARY,30 - 34,0
2014,F,SECONDARY,30 - 34,0
2014,MF,SECONDARY,35 - 39,13
2014,F,SECONDARY,35 - 39,4
2014,MF,SECONDARY,40 - 44,48
2014,F,SECONDARY,40 - 44,18
2014,MF,SECONDARY,45 - 49,35
2014,F,SECONDARY,45 - 49,20
2014,MF,SECONDARY,50 - 54,30
2014,F,SECONDARY,50 - 54,19
2014,MF,SECONDARY,55 & ABOVE,40
2014,F,SECONDARY,55 & ABOVE,24
2015,MF,PRE-UNIVERSITY,30 - 34,0
2015,F,PRE-UNIVERSITY,30 - 34,0
2015,MF,PRE-UNIVERSITY,35 - 39,0
2015,F,PRE-UNIVERSITY,35 - 39,0
2015,MF,PRE-UNIVERSITY,40 - 44,2
2015,F,PRE-UNIVERSITY,40 - 44,1
2015,MF,PRE-UNIVERSITY,45 - 49,1
2015,F,PRE-UNIVERSITY,45 - 49,1
2015,MF,PRE-UNIVERSITY,50 - 54,4
2015,F,PRE-UNIVERSITY,50 - 54,2
2015,MF,PRE-UNIVERSITY,55 & ABOVE,17
2015,F,PRE-UNIVERSITY,55 & ABOVE,8
2015,MF,PRIMARY,30 - 34,0
2015,F,PRIMARY,30 - 34,0
2015,MF,PRIMARY,35 - 39,7
2015,F,PRIMARY,35 - 39,7
2015,MF,PRIMARY,40 - 44,38
2015,F,PRIMARY,40 - 44,26
2015,MF,PRIMARY,45 - 49,51
2015,F,PRIMARY,45 - 49,39
2015,MF,PRIMARY,50 - 54,40
2015,F,PRIMARY,50 - 54,31
2015,MF,PRIMARY,55 & ABOVE,54
2015,F,PRIMARY,55 & ABOVE,41
2015,MF,SECONDARY,30 - 34,0
2015,F,SECONDARY,30 - 34,0
2015,MF,SECONDARY,35 - 39,8
2015,F,SECONDARY,35 - 39,4
2015,MF,SECONDARY,40 - 44,52
2015,F,SECONDARY,40 - 44,26
2015,MF,SECONDARY,45 - 49,38
2015,F,SECONDARY,45 - 49,19
2015,MF,SECONDARY,50 - 54,26
2015,F,SECONDARY,50 - 54,15
2015,MF,SECONDARY,55 & ABOVE,40
2015,F,SECONDARY,55 & ABOVE,24
2016,MF,PRE-UNIVERSITY,30 - 34,0
2016,F,PRE-UNIVERSITY,30 - 34,0
2016,MF,PRE-UNIVERSITY,35 - 39,0
2016,F,PRE-UNIVERSITY,35 - 39,0
2016,MF,PRE-UNIVERSITY,40 - 44,3
2016,F,PRE-UNIVERSITY,40 - 44,1
2016,MF,PRE-UNIVERSITY,45 - 49,2
2016,F,PRE-UNIVERSITY,45 - 49,2
2016,MF,PRE-UNIVERSITY,50 - 54,4
2016,F,PRE-UNIVERSITY,50 - 54,1
2016,MF,PRE-UNIVERSITY,55 & ABOVE,16
2016,F,PRE-UNIVERSITY,55 & ABOVE,8
2016,MF,PRIMARY,30 - 34,0
2016,F,PRIMARY,30 - 34,0
2016,MF,PRIMARY,35 - 39,7
2016,F,PRIMARY,35 - 39,7
2016,MF,PRIMARY,40 - 44,37
2016,F,PRIMARY,40 - 44,25
2016,MF,PRIMARY,45 - 49,49
2016,F,PRIMARY,45 - 49,37
2016,MF,PRIMARY,50 - 54,39
2016,F,PRIMARY,50 - 54,31
2016,MF,PRIMARY,55 & ABOVE,59
2016,F,PRIMARY,55 & ABOVE,44
2016,MF,SECONDARY,30 - 34,0
2016,F,SECONDARY,30 - 34,0
2016,MF,SECONDARY,35 - 39,6
2016,F,SECONDARY,35 - 39,1
2016,MF,SECONDARY,40 - 44,40
2016,F,SECONDARY,40 - 44,22
2016,MF,SECONDARY,45 - 49,44
2016,F,SECONDARY,45 - 49,19
2016,MF,SECONDARY,50 - 54,22
2016,F,SECONDARY,50 - 54,11
2016,MF,SECONDARY,55 & ABOVE,44
2016,F,SECONDARY,55 & ABOVE,27
2017,MF,PRE-UNIVERSITY,30 - 34,0
2017,F,PRE-UNIVERSITY,30 - 34,0
2017,MF,PRE-UNIVERSITY,35 - 39,0
2017,F,PRE-UNIVERSITY,35 - 39,0
2017,MF,PRE-UNIVERSITY,40 - 44,2
2017,F,PRE-UNIVERSITY,40 - 44,0
2017,MF,PRE-UNIVERSITY,45 - 49,3
2017,F,PRE-UNIVERSITY,45 - 49,2
2017,MF,PRE-UNIVERSITY,50 - 54,3
2017,F,PRE-UNIVERSITY,50 - 54,1
2017,MF,PRE-UNIVERSITY,55 & ABOVE,16
2017,F,PRE-UNIVERSITY,55 & ABOVE,8
2017,MF,PRIMARY,30 - 34,0
2017,F,PRIMARY,30 - 34,0
2017,MF,PRIMARY,35 - 39,4
2017,F,PRIMARY,35 - 39,4
2017,MF,PRIMARY,40 - 44,34
2017,F,PRIMARY,40 - 44,23
2017,MF,PRIMARY,45 - 49,47
2017,F,PRIMARY,45 - 49,34
2017,MF,PRIMARY,50 - 54,41
2017,F,PRIMARY,50 - 54,34
2017,MF,PRIMARY,55 & ABOVE,64
2017,F,PRIMARY,55 & ABOVE,47
2017,MF,SECONDARY,30 - 34,0
2017,F,SECONDARY,30 - 34,0
2017,MF,SECONDARY,35 - 39,6
2017,F,SECONDARY,35 - 39,1
2017,MF,SECONDARY,40 - 44,36
2017,F,SECONDARY,40 - 44,18
2017,MF,SECONDARY,45 - 49,42
2017,F,SECONDARY,45 - 49,19
2017,MF,SECONDARY,50 - 54,20
2017,F,SECONDARY,50 - 54,10
2017,MF,SECONDARY,55 & ABOVE,46
2017,F,SECONDARY,55 & ABOVE,27
2018,MF,PRE-UNIVERSITY,30 - 34,0
2018,F,PRE-UNIVERSITY,30 - 34,0
2018,MF,PRE-UNIVERSITY,35 - 39,0
2018,F,PRE-UNIVERSITY,35 - 39,0
2018,MF,PRE-UNIVERSITY,40 - 44,2
2018,F,PRE-UNIVERSITY,40 - 44,0
2018,MF,PRE-UNIVERSITY,45 - 49,4
2018,F,PRE-UNIVERSITY,45 - 49,2
2018,MF,PRE-UNIVERSITY,50 - 54,2
2018,F,PRE-UNIVERSITY,50 - 54,0
2018,MF,PRE-UNIVERSITY,55 & ABOVE,12
2018,F,PRE-UNIVERSITY,55 & ABOVE,7
2018,MF,PRIMARY,30 - 34,0
2018,F,PRIMARY,30 - 34,0
2018,MF,PRIMARY,35 - 39,4
2018,F,PRIMARY,35 - 39,3
2018,MF,PRIMARY,40 - 44,29
2018,F,PRIMARY,40 - 44,21
2018,MF,PRIMARY,45 - 49,45
2018,F,PRIMARY,45 - 49,32
2018,MF,PRIMARY,50 - 54,47
2018,F,PRIMARY,50 - 54,38
2018,MF,PRIMARY,55 & ABOVE,61
2018,F,PRIMARY,55 & ABOVE,45
2018,MF,SECONDARY,30 - 34,0
2018,F,SECONDARY,30 - 34,0
2018,MF,SECONDARY,35 - 39,5
2018,F,SECONDARY,35 - 39,2
2018,MF,SECONDARY,40 - 44,29
2018,F,SECONDARY,40 - 44,13
2018,MF,SECONDARY,45 - 49,42
2018,F,SECONDARY,45 - 49,19
2018,MF,SECONDARY,50 - 54,27
2018,F,SECONDARY,50 - 54,14
2018,MF,SECONDARY,55 & ABOVE,44
2018,F,SECONDARY,55 & ABOVE,27
